theta(град)   d_times   d_db
56.008004   0.940021   -0.268623
56.098049   0.943027   -0.254758
56.188094   0.946034   -0.240931
56.278139   0.949043   -0.227142
56.368184   0.952052   -0.213391
56.458229   0.955063   -0.199678
56.548274   0.958076   -0.186002
56.638319   0.961089   -0.172365
56.728364   0.964103   -0.158765
56.818409   0.967119   -0.145203
56.908454   0.970135   -0.131678
56.998499   0.973152   -0.118192
57.088544   0.976171   -0.104743
57.178589   0.979190   -0.091331
57.268634   0.982210   -0.077958
57.358679   0.985230   -0.064622
57.448724   0.988252   -0.051323
57.538769   0.991274   -0.038062
57.628814   0.994297   -0.024839
57.718859   0.997320   -0.011654
57.808904   1.000344   0.001495
57.898949   1.003369   0.014605
57.988995   1.006394   0.027678
58.079040   1.009419   0.040714
58.169085   1.012444   0.053712
58.259130   1.015470   0.066673
58.349175   1.018497   0.079596
58.439220   1.021523   0.092482
58.529265   1.024550   0.105330
58.619310   1.027576   0.118141
58.709355   1.030603   0.130915
58.799400   1.033630   0.143651
58.889445   1.036657   0.156350
58.979490   1.039683   0.169011
59.069535   1.042710   0.181636
59.159580   1.045737   0.194223
59.249625   1.048763   0.206772
59.339670   1.051789   0.219285
59.429715   1.054814   0.231760
59.519760   1.057840   0.244198
59.609805   1.060864   0.256599
59.699850   1.063889   0.268962
59.789895   1.066913   0.281289
59.879940   1.069936   0.293578
59.969985   1.072959   0.305830
60.060030   1.075981   0.318045
60.150075   1.079002   0.330223
60.240120   1.082023   0.342363
60.330165   1.085042   0.354467
60.420210   1.088061   0.366533
60.510255   1.091079   0.378562
60.600300   1.094096   0.390555
60.690345   1.097112   0.402510
60.780390   1.100127   0.414428
60.870435   1.103141   0.426309
60.960480   1.106153   0.438153
61.050525   1.109165   0.449960
61.140570   1.112175   0.461730
61.230615   1.115183   0.473463
61.320660   1.118191   0.485159
61.410705   1.121197   0.496818
61.500750   1.124201   0.508440
61.590795   1.127204   0.520025
61.680840   1.130205   0.531573
61.770885   1.133205   0.543084
61.860930   1.136203   0.554559
61.950976   1.139199   0.565996
62.041021   1.142193   0.577396
62.131066   1.145186   0.588760
62.221111   1.148177   0.600087
62.311156   1.151165   0.611376
62.401201   1.154152   0.622629
62.491246   1.157136   0.633845
62.581291   1.160119   0.645025
62.671336   1.163099   0.656167
62.761381   1.166077   0.667272
62.851426   1.169053   0.678341
62.941471   1.172026   0.689373
63.031516   1.174997   0.700368
63.121561   1.177966   0.711326
63.211606   1.180932   0.722248
63.301651   1.183895   0.733132
63.391696   1.186856   0.743980
63.481741   1.189814   0.754791
63.571786   1.192770   0.765565
63.661831   1.195722   0.776303
63.751876   1.198672   0.787004
63.841921   1.201619   0.797668
63.931966   1.204563   0.808295
64.022011   1.207504   0.818886
64.112056   1.210442   0.829439
64.202101   1.213377   0.839956
64.292146   1.216308   0.850437
64.382191   1.219237   0.860880
64.472236   1.222162   0.871287
64.562281   1.225084   0.881658
64.652326   1.228002   0.891991
64.742371   1.230917   0.902288
64.832416   1.233829   0.912548
64.922461   1.236736   0.922772
65.012506   1.239641   0.932958
65.102551   1.242541   0.943108
65.192596   1.245438   0.953222
65.282641   1.248331   0.963299
65.372686   1.251221   0.973339
65.462731   1.254106   0.983342
65.552776   1.256987   0.993309
65.642821   1.259865   1.003239
65.732866   1.262738   1.013133
65.822911   1.265607   1.022990
65.912956   1.268472   1.032810
66.003002   1.271333   1.042594
66.093047   1.274190   1.052341
66.183092   1.277042   1.062051
66.273137   1.279890   1.071725
66.363182   1.282733   1.081362
66.453227   1.285572   1.090963
66.543272   1.288406   1.100527
66.633317   1.291235   1.110054
66.723362   1.294060   1.119545
